trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
814,False,"{'a': 0.5, 'e': 0.028045072800280346}",25,0,34.10235212869919,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
815,False,"{'a': 0.5, 'e': 0.027904847436278947}",20,10,21.485758383691472,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
816,False,"{'a': 0.5, 'e': 0.027765323199097552}",30,22,14.562028894665705,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
817,False,"{'a': 0.5, 'e': 0.027626496583102064}",25,9,16.7775112151198,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
818,False,"{'a': 0.5, 'e': 0.02748836410018655}",25,4,33.991474378107014,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
819,False,"{'a': 0.5, 'e': 0.02735092227968562}",20,14,11.557987568347983,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
820,False,"{'a': 0.5, 'e': 0.02721416766828719}",20,12,14.374205588578862,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
821,False,"{'a': 0.5, 'e': 0.027078096829945757}",25,13,-15.37104195180443,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
822,False,"{'a': 0.5, 'e': 0.026942706345796028}",30,20,17.89385901534862,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
823,False,"{'a': 0.5, 'e': 0.026807992814067046}",20,13,12.619316518933081,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
824,False,"{'a': 0.5, 'e': 0.026673952849996713}",20,0,29.770939045562518,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
825,False,"{'a': 0.5, 'e': 0.02654058308574673}",20,10,19.863540342552678,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
826,False,"{'a': 0.5, 'e': 0.026407880170317994}",20,8,23.957041060077746,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
827,False,"{'a': 0.5, 'e': 0.026275840769466402}",30,9,27.846128682892545,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
828,False,"{'a': 0.5, 'e': 0.026144461565619073}",25,9,27.21989600279176,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
829,False,"{'a': 0.5, 'e': 0.026013739257790977}",20,8,22.57561095820741,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
830,False,"{'a': 0.5, 'e': 0.02588367056150202}",20,3,17.007865483305977,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
831,False,"{'a': 0.5, 'e': 0.02575425220869451}",30,11,26.57980139663844,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
832,False,"{'a': 0.5, 'e': 0.025625480947651037}",20,0,28.874109999163394,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
833,False,"{'a': 0.5, 'e': 0.025497353542912785}",25,17,15.210184541128235,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
834,False,"{'a': 0.5, 'e': 0.02536986677519822}",25,16,20.917126434638288,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
835,False,"{'a': 0.5, 'e': 0.02524301744132223}",25,7,33.77355439911922,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
836,False,"{'a': 0.5, 'e': 0.025116802354115616}",25,20,9.984424853947433,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
837,False,"{'a': 0.5, 'e': 0.024991218342345037}",20,15,10.663095288409792,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
838,False,"{'a': 0.5, 'e': 0.024866262250633313}",30,16,25.637764241197296,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
839,False,"{'a': 0.5, 'e': 0.024741930939380145}",25,20,9.79864707803865,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
840,False,"{'a': 0.5, 'e': 0.024618221284683245}",20,11,-2.481376506492131,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
841,False,"{'a': 0.5, 'e': 0.024495130178259827}",25,17,14.782002299283857,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
842,False,"{'a': 0.5, 'e': 0.02437265452736853}",25,8,30.585950143803856,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
843,False,"{'a': 0.5, 'e': 0.024250791254731688}",25,19,11.317721787450367,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
844,False,"{'a': 0.5, 'e': 0.02412953729845803}",20,10,16.407807712961908,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
845,False,"{'a': 0.5, 'e': 0.024008889611965737}",25,11,22.659548378666035,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
846,False,"{'a': 0.5, 'e': 0.02388884516390591}",30,0,41.15272119946771,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
847,False,"{'a': 0.5, 'e': 0.02376940093808638}",25,13,9.303142861347604,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
848,False,"{'a': 0.5, 'e': 0.02365055393339595}",25,16,17.9837095659704,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
849,False,"{'a': 0.5, 'e': 0.023532301163728966}",25,12,7.285801993489336,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
850,False,"{'a': 0.5, 'e': 0.023414639657910324}",20,10,19.43309985979802,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
851,False,"{'a': 0.5, 'e': 0.02329756645962077}",20,5,27.55359271452707,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
852,False,"{'a': 0.5, 'e': 0.023181078627322667}",20,8,22.833297352380356,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
853,False,"{'a': 0.5, 'e': 0.023065173234186054}",20,8,23.722582190159045,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
854,False,"{'a': 0.5, 'e': 0.022949847368015124}",20,12,11.003781844925156,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
855,False,"{'a': 0.5, 'e': 0.022835098131175048}",25,15,17.25900031761978,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
856,False,"{'a': 0.5, 'e': 0.022720922640519173}",20,5,25.16520574151192,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
857,False,"{'a': 0.5, 'e': 0.022607318027316577}",25,17,16.043425240975235,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
858,False,"{'a': 0.5, 'e': 0.022494281437179995}",25,9,27.1253930456428,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
859,False,"{'a': 0.5, 'e': 0.022381810029994093}",35,0,49.19917358268822,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
860,False,"{'a': 0.5, 'e': 0.02226990097984412}",20,13,12.605226897269253,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
861,False,"{'a': 0.5, 'e': 0.0221585514749449}",20,13,11.987464391073896,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
862,False,"{'a': 0.5, 'e': 0.022047758717570178}",25,11,28.170673165739714,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
863,False,"{'a': 0.5, 'e': 0.021937519923982327}",30,20,17.970648128102432,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
864,False,"{'a': 0.5, 'e': 0.021827832324362414}",20,11,11.596268795378277,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
865,False,"{'a': 0.5, 'e': 0.021718693162740603}",25,19,13.315138863766801,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
866,False,"{'a': 0.5, 'e': 0.0216100996969269}",20,7,24.725649048725355,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
867,False,"{'a': 0.5, 'e': 0.021502049198442265}",20,11,15.846860027362606,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
868,False,"{'a': 0.5, 'e': 0.021394538952450054}",20,15,9.316675235589777,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
869,False,"{'a': 0.5, 'e': 0.021287566257687802}",25,12,23.987081300101853,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
870,False,"{'a': 0.5, 'e': 0.021181128426399364}",20,9,17.466038092291612,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
871,False,"{'a': 0.5, 'e': 0.021075222784267367}",25,19,5.748450007149284,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
872,False,"{'a': 0.5, 'e': 0.02096984667034603}",25,16,18.236622444073785,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
873,False,"{'a': 0.5, 'e': 0.0208649974369943}",25,17,14.407686355969167,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
874,False,"{'a': 0.5, 'e': 0.02076067244980933}",20,6,22.06435928042595,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
