trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
230,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.26809957400444,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
231,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.36467989541846,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
232,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.01579289706014,"{0: 10, 1: 1, 2: 8, 3: 1, 4: 0}",0
233,False,"{'a': 0.5, 'e': 1.0}",25,0,-149.75032152541363,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
234,False,"{'a': 0.5, 'e': 1.0}",30,0,-104.96984723309303,"{0: 22, 1: 3, 2: 3, 3: 0, 4: 2}",0
235,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.8647055058771,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
236,False,"{'a': 0.5, 'e': 1.0}",25,0,-83.98308966172746,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
237,False,"{'a': 0.5, 'e': 1.0}",30,0,-130.96418827736557,"{0: 15, 1: 8, 2: 5, 3: 1, 4: 1}",0
238,False,"{'a': 0.5, 'e': 1.0}",30,0,-88.06236329113437,"{0: 20, 1: 6, 2: 2, 3: 1, 4: 1}",0
239,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.78060663978985,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
240,False,"{'a': 0.5, 'e': 1.0}",20,0,-111.63475406008146,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
241,False,"{'a': 0.5, 'e': 1.0}",20,0,-188.26549493962568,"{0: 6, 1: 3, 2: 8, 3: 1, 4: 2}",0
242,False,"{'a': 0.5, 'e': 1.0}",25,0,-119.91303121573685,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
243,False,"{'a': 0.5, 'e': 1.0}",20,6,-10.760284721826993,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
244,False,"{'a': 0.5, 'e': 1.0}",25,0,-91.19774188309931,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
245,False,"{'a': 0.5, 'e': 1.0}",20,0,-100.01317202763927,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
246,False,"{'a': 0.5, 'e': 1.0}",20,1,-78.0723662595463,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 1}",1
247,False,"{'a': 0.5, 'e': 1.0}",25,0,-107.89403697472942,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
248,False,"{'a': 0.5, 'e': 1.0}",25,0,-171.50960593429133,"{0: 10, 1: 5, 2: 8, 3: 0, 4: 2}",0
249,False,"{'a': 0.5, 'e': 1.0}",25,0,-202.26259894629314,"{0: 12, 1: 3, 2: 6, 3: 1, 4: 3}",0
250,False,"{'a': 0.5, 'e': 1.0}",20,0,-138.28944718891665,"{0: 9, 1: 5, 2: 4, 3: 0, 4: 2}",0
251,False,"{'a': 0.5, 'e': 1.0}",20,0,-131.483461111867,"{0: 12, 1: 0, 2: 3, 3: 4, 4: 1}",0
252,False,"{'a': 0.5, 'e': 1.0}",20,0,-132.1482655920025,"{0: 7, 1: 4, 2: 8, 3: 0, 4: 1}",0
253,False,"{'a': 0.5, 'e': 1.0}",30,0,-222.33878836177297,"{0: 15, 1: 4, 2: 6, 3: 2, 4: 3}",0
254,False,"{'a': 0.5, 'e': 1.0}",20,0,-132.40192653118552,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
255,False,"{'a': 0.5, 'e': 1.0}",25,0,-86.2041319260096,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
256,False,"{'a': 0.5, 'e': 1.0}",20,0,-218.54563655884843,"{0: 9, 1: 3, 2: 3, 3: 1, 4: 4}",0
257,False,"{'a': 0.5, 'e': 1.0}",20,0,-155.5401680862602,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
258,False,"{'a': 0.5, 'e': 1.0}",20,14,8.47192098227991,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
